IATA,City,Airport
AGS,Augusta,Augusta Regional Airport (Bush Field)
BQK,Brunswick,Brunswick Golden Isles Airport
CSG,Columbus,Columbus Airport
MCN,Macon,Middle Georgia Regional Airport
SAV,Savannah,Savannah/Hilton Head International Airport
VLD,Valdosta,Valdosta Regional Airport
ITO,"Hilo, Hawaii",Hilo International Airport
HNL,"Honolulu, Oahu",Daniel K. Inouye International Airport
OGG,"Kahului, Maui",Kahului Airport
KOA,"Kailua-Kona, Hawaii",Ellison Onizuka Kona International Airport at Keahole
MKK,"Kaunakakai, Molokai",Molokai Airport (Hoolehua Airport)
LNY,"Lanai City, Lanai",Lanai Airport
LIH,"Lihue, Kauai",Lihue Airport
BOI,Boise,Boise Airport (Boise Air Terminal) (Gowen Field)
SUN,Hailey / Sun Valley,Friedman Memorial Airport
IDA,Idaho Falls,Idaho Falls Regional Airport (Fanning Field)
LWS,Lewiston,Lewiston–Nez Perce County Airport
PIH,Pocatello,Pocatello Regional Airport
TWF,Twin Falls,Magic Valley Regional Airport (Joslin Field)
BLV,Belleville,MidAmerica St. Louis Airport / Scott Air Force Base
BMI,Bloomington / Normal,Central Illinois Regional Airport at Bloomington-Normal
CMI,Champaign / Urbana / Savoy,University of Illinois - Willard Airport
MDW,Chicago,Chicago Midway International Airport
ORD,Chicago,Chicago O'Hare International Airport
DEC,Decatur,Decatur Airport
MWA,Marion,Veterans Airport of Southern Illinois (Williamson County Regional Airport)
MLI,Moline,Quad Cities International Airport
PIA,Peoria,Peoria International Airport
RFD,Rockford,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford)
SPI,Springfield,Abraham Lincoln Capital Airport
EVV,Evansville,Evansville Regional Airport
FWA,Fort Wayne,Fort Wayne International Airport
IND,Indianapolis,Indianapolis International Airport
SBN,South Bend,South Bend International Airport
CID,Cedar Rapids,Eastern Iowa Airport
DSM,Des Moines,Des Moines International Airport
DBQ,Dubuque,Dubuque Regional Airport
SUX,Sioux City,Sioux Gateway Airport (Brig. General Bud Day Field)
ALO,Waterloo,Waterloo Regional Airport
GCK,Garden City,Garden City Regional Airport
HYS,Hays,Hays Regional Airport
MHK,Manhattan,Manhattan Regional Airport
SLN,Salina,Salina Regional Airport
ICT,Wichita,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport)
CVG,Cincinnati/Covington,Cincinnati/Northern Kentucky International Airport
LEX,Lexington,Blue Grass Airport
SDF,Louisville,Louisville Muhammad Ali International Airport (Standiford Field)
OWB,Owensboro,Owensboro–Daviess County Regional Airport
PAH,Paducah,Barkley Regional Airport
AEX,Alexandria,Alexandria International Airport
BTR,Baton Rouge,Baton Rouge Metropolitan Airport (Ryan Field)
LFT,Lafayette,Lafayette Regional Airport (Paul Fournet Field)
LCH,Lake Charles,Lake Charles Regional Airport
MLU,Monroe,Monroe Regional Airport
MSY,New Orleans,Louis Armstrong New Orleans International Airport
SHV,Shreveport,Shreveport Regional Airport
BGR,Bangor,Bangor International Airport
PWM,Portland,Portland International Jetport
PQI,Presque Isle,Presque Isle International Airport
RKD,Rockland,Knox County Regional Airport
BWI,Baltimore,Baltimore/Washington International Airport
HGR,Hagerstown,Hagerstown Regional Airport (Richard A. Henson Field)
SBY,Salisbury,Salisbury Regional Airport
BOS,Boston,Gen. Edward Lawrence Logan International Airport
HYA,Hyannis,Cape Cod Gateway Airport (Boardman/Polando Field)
ACK,Nantucket,Nantucket Memorial Airport
MVY,Vineyard Haven,Martha's Vineyard Airport
ORH,Worcester,Worcester Regional Airport
APN,Alpena,Alpena County Regional Airport
DTW,Detroit,Detroit Metro Wayne County Airport
ESC,Escanaba,Delta County Airport
FNT,Flint,Bishop International Airport
GRR,Grand Rapids,Gerald R. Ford International Airport
CMX,Hancock,Houghton County Memorial Airport
IMT,Iron Mountain,Ford Airport
AZO,Kalamazoo,Kalamazoo/Battle Creek International Airport
LAN,Lansing,Capital Region International Airport (was Lansing Capital City)
MQT,Marquette,Marquette Sawyer Regional Airport
MKG,Muskegon,Muskegon County Airport
PLN,Pellston,Pellston Regional/Emmet County Airport
MBS,Saginaw,MBS International Airport
CIU,Sault Ste. Marie,Chippewa County International Airport
TVC,Traverse City,Cherry Capital Airport (was Cherry County Airpark)
BJI,Bemidji,Bemidji Regional Airport
BRD,Brainerd,Brainerd Lakes Regional Airport
DLH,Duluth,Duluth International Airport
HIB,Hibbing,Range Regional Airport (formerly Chisholm–Hibbing Municipal Airport)
MSP,Minneapolis–Saint Paul,Minneapolis–Saint Paul International Airport (Wold-Chamberlain Field)
RST,Rochester,Rochester International Airport
STC,St. Cloud,St. Cloud Regional Airport
GTR,Columbus,Golden Triangle Regional Airport
GPT,Gulfport / Biloxi,Gulfport–Biloxi International Airport
PIB,Hattiesburg / Laurel,Hattiesburg–Laurel Regional Airport
JAN,Jackson,Jackson–Medgar Wiley Evers International Airport
MEI,Meridian,Key Field
TUP,Tupelo,Tupelo Regional Airport (C.D. Lemons Field)
BKG,Branson,Branson Airport
COU,Columbia,Columbia Regional Airport
TBN,Fort Leonard Wood / Waynesville,Waynesville–St. Robert Regional Airport (Forney Field)
JLN,Joplin,Joplin Regional Airport
MCI,Kansas City,Kansas City International Airport (was Mid-Continent International)
STL,St. Louis,St. Louis Lambert International Airport
SGF,Springfield/Branson,Springfield–Branson National Airport
BIL,Billings,Billings Logan International Airport
BZN,Bozeman,Bozeman Yellowstone International Airport (was Gallatin Field)
BTM,Butte,Bert Mooney Airport
GTF,Great Falls,Great Falls International Airport
HLN,Helena,Helena Regional Airport
FCA,Kalispell,Glacier Park International Airport
MSO,Missoula,Missoula Montana Airport (was Missoula International Airport)
WYS,West Yellowstone,Yellowstone Airport
GRI,Grand Island,Central Nebraska Regional Airport
EAR,Kearney,Kearney Regional Airport (was Kearney Municipal)
LNK,Lincoln,Lincoln Airport (was Lincoln Municipal)
LBF,North Platte,North Platte Regional Airport (Lee Bird Field)
OMA,Omaha,Eppley Airfield
BFF,Scottsbluff,Western Nebraska Regional Airport (William B. Heilig Field)
BLD,Boulder City,Boulder City Municipal Airport
EKO,Elko,Elko Regional Airport (J.C. Harris Field)
LAS,Las Vegas,Harry Reid International Airport
RNO,Reno,Reno/Tahoe International Airport
MHT,Manchester,Manchester–Boston Regional Airport
PSM,Portsmouth,Portsmouth International Airport at Pease
ACY,Atlantic City,Atlantic City International Airport
EWR,Newark,Newark Liberty International Airport
TTN,Trenton,Trenton–Mercer Airport
ABQ,Albuquerque,Albuquerque International Sunport
HOB,Hobbs,Lea County Regional Airport
ROW,Roswell,Roswell Air Center
SAF,Santa Fe,Santa Fe Municipal Airport
ALB,Albany,Albany International Airport
BGM,Binghamton,Greater Binghamton Airport (Edwin A. Link Field)
BUF,Buffalo,Buffalo Niagara International Airport
ELM,Elmira / Corning,Elmira/Corning Regional Airport
ITH,Ithaca,Ithaca Tompkins International Airport
JFK,New York,John F. Kennedy International Airport (was New York International Airport)
LGA,New York,LaGuardia Airport (and Marine Air Terminal)
ISP,Islip / Brookhaven,Long Island MacArthur Airport
SWF,Newburgh,New York Stewart International Airport
IAG,Niagara Falls,Niagara Falls International Airport
OGS,Ogdensburg,Ogdensburg International Airport
PBG,Plattsburgh,Plattsburgh International Airport
ROC,Rochester,Frederick Douglass/Greater Rochester International Airport
SYR,Syracuse,Syracuse Hancock International Airport
ART,Watertown,Watertown International Airport
HPN,White Plains,Westchester County Airport
AVL,Asheville,Asheville Regional Airport
CLT,Charlotte,Charlotte Douglas International Airport
USA,Concord,Concord–Padgett Regional Airport
FAY,Fayetteville,Fayetteville Regional Airport (Grannis Field)
GSO,Greensboro,Piedmont Triad International Airport
PGV,Greenville,Pitt–Greenville Airport
OAJ,Jacksonville,Albert J. Ellis Airport
EWN,New Bern,Coastal Carolina Regional Airport (was Craven County Regional)
RDU,Raleigh,Raleigh–Durham International Airport
ILM,Wilmington,Wilmington International Airport
BIS,Bismarck,Bismarck Municipal Airport
DIK,Dickinson,Dickinson Theodore Roosevelt Regional Airport
FAR,Fargo,Hector International Airport
GFK,Grand Forks,Grand Forks International Airport
JMS,Jamestown,Jamestown Regional Airport
MOT,Minot,Minot International Airport
XWA,Williston,Williston Basin International Airport
CAK,Akron / Canton,Akron–Canton Airport
CLE,Cleveland,Cleveland Hopkins International Airport
CMH,Columbus,John Glenn Columbus International Airport
LCK,Columbus,Rickenbacker International Airport
DAY,Dayton,James M. Cox Dayton International Airport
TOL,Toledo,Eugene F. Kranz Toledo Express Airport
LAW,Lawton,Lawton–Fort Sill Regional Airport
OKC,Oklahoma City,OKC Will Rogers International Airport
SWO,Stillwater,Stillwater Regional Airport
TUL,Tulsa,Tulsa International Airport
EUG,Eugene,Mahlon Sweet Field
MFR,Medford,Rogue Valley International–Medford Airport
OTH,North Bend,Southwest Oregon Regional Airport (was North Bend Municipal)
PDX,Portland,Portland International Airport
RDM,Redmond,Roberts Field
ABE,Allentown,Lehigh Valley International Airport
AOO,Altoona,Altoona–Blair County Airport
ERI,Erie,Erie International Airport
MDT,Harrisburg,Harrisburg International Airport
JST,Johnstown,John Murtha Johnstown–Cambria County Airport
LNS,Lancaster,Lancaster Airport
LBE,Latrobe,Arnold Palmer Regional Airport
PHL,Philadelphia,Philadelphia International Airport
PIT,Pittsburgh,Pittsburgh International Airport
SCE,State College,State College Regional Airport
AVP,Wilkes-Barre / Scranton,Wilkes-Barre/Scranton International Airport
BID,Block Island,Block Island State Airport
PVD,Providence,Rhode Island T. F. Green International Airport
WST,Westerly,Westerly State Airport
CHS,Charleston,Charleston International Airport / Charleston AFB
CAE,Columbia,Columbia Metropolitan Airport
FLO,Florence,Florence Regional Airport
GSP,Greenville,Greenville–Spartanburg International Airport (Roger Milliken Field)
HHH,Hilton Head,Hilton Head Airport
MYR,Myrtle Beach,Myrtle Beach International Airport
ABR,Aberdeen,Aberdeen Regional Airport
PIR,Pierre,Pierre Regional Airport
RAP,Rapid City,Rapid City Regional Airport
FSD,Sioux Falls,Sioux Falls Regional Airport (Joe Foss Field)
ATY,Watertown,Watertown Regional Airport
CHA,Chattanooga,Chattanooga Metropolitan Airport (Lovell Field)
TYS,Knoxville,McGhee Tyson Airport
MEM,Memphis,Memphis International Airport
BNA,Nashville,Nashville International Airport (Berry Field)
TRI,Tri-Cities,Tri-Cities Airport
ABI,Abilene,Abilene Regional Airport
AMA,Amarillo,Rick Husband Amarillo International Airport
AUS,Austin,Austin–Bergstrom International Airport
BPT,Beaumont,Jack Brooks Regional Airport (was Southeast Texas Regional)
BRO,Brownsville,Brownsville/South Padre Island International Airport
CLL,College Station,Easterwood Field
CRP,Corpus Christi,Corpus Christi International Airport
DAL,Dallas,Dallas Love Field
DFW,Dallas–Fort Worth,Dallas Fort Worth International Airport
DRT,Del Rio,Del Rio International Airport
ELP,El Paso,El Paso International Airport
HRL,Harlingen,Valley International Airport
IAH,Houston,George Bush Intercontinental/Houston Airport
HOU,Houston,William P. Hobby Airport
GRK,Killeen,Killeen Regional Airport / Robert Gray Army Airfield
LRD,Laredo,Laredo International Airport
GGG,Longview,East Texas Regional Airport
LBB,Lubbock,Lubbock Preston Smith International Airport
MFE,McAllen,McAllen Miller International Airport
MAF,Midland / Odessa,Midland International Air and Space Port
SJT,San Angelo,San Angelo Regional Airport (Mathis Field)
SAT,San Antonio,San Antonio International Airport
TYR,Tyler,Tyler Pounds Regional Airport
ACT,Waco,Waco Regional Airport
SPS,Wichita Falls,Wichita Falls Municipal Airport / Sheppard Air Force Base
CDC,Cedar City,Cedar City Regional Airport
CNY,Moab,Canyonlands Regional Airport
OGD,Ogden,Ogden–Hinckley Airport
PVU,Provo,Provo Municipal Airport
SGU,St. George,St. George Regional Airport
SLC,Salt Lake City,Salt Lake City International Airport
BTV,Burlington,Patrick Leahy Burlington International Airport
CHO,Charlottesville,Charlottesville–Albemarle Airport
LYH,Lynchburg,Lynchburg Regional Airport (Preston Glenn Field)
PHF,Newport News,Newport News/Williamsburg International Airport (Patrick Henry Field)
ORF,Norfolk,Norfolk International Airport
RIC,Richmond,Richmond International Airport (Byrd Field)
ROA,Roanoke,Roanoke–Blacksburg Regional Airport (Woodrum Field)
SHD,Staunton / Waynesboro / Harrisonburg,Shenandoah Valley Regional Airport
DCA,"Washington, D.C. / Arlington",Ronald Reagan Washington National Airport
IAD,"Washington, D.C. / Dulles / Chantilly",Dulles International Airport
BLI,Bellingham,Bellingham International Airport
ESD,Eastsound,Orcas Island Airport
PAE,Everett,Paine Field (Snohomish County Airport)
FRD,Friday Harbor,Friday Harbor Airport
PSC,Pasco,Tri-Cities Airport
PUW,"Pullman / Moscow, Idaho",Pullman–Moscow Regional Airport
BFI,Seattle,King County International Airport (Boeing Field)
SEA,Seattle / Tacoma (SeaTac),Seattle–Tacoma International Airport
GEG,Spokane,Spokane International Airport (Geiger Field)
ALW,Walla Walla,Walla Walla Regional Airport
EAT,Wenatchee,Pangborn Memorial Airport
YKM,Yakima,Yakima Air Terminal (McAllister Field)
CRW,Charleston,Yeager Airport
CKB,Clarksburg,North Central West Virginia Airport (was Harrison-Marion Regional)
HTS,Huntington,Tri-State Airport (Milton J. Ferguson Field)
ATW,Appleton / Fox Cities,Appleton International Airport
EAU,Eau Claire,Chippewa Valley Regional Airport
GRB,Green Bay,Green Bay–Austin Straubel International Airport
LSE,La Crosse,La Crosse Regional Airport
MSN,Madison,Dane County Regional Airport (Truax Field)
MKE,Milwaukee,Milwaukee Mitchell International Airport
CWA,Mosinee,Central Wisconsin Airport
RHI,Rhinelander,Rhinelander–Oneida County Airport
CPR,Casper,Casper–Natrona County International Airport
COD,Cody,Yellowstone Regional Airport
GCC,Gillette,Gillette–Campbell County Airport
JAC,Jackson,Jackson Hole Airport
LAR,Laramie,Laramie Regional Airport
RIW,Riverton,Central Wyoming Regional Airport (was Riverton Regional)
RKS,Rock Springs,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport)
SHR,Sheridan,Sheridan County Airport
GUM,Agana / Tamuning,Antonio B. Won Pat International Airport
SPN,"Obyan, Saipan Island",Saipan International Airport (Francisco C. Ada)
TIQ,Tinian Island,Tinian International Airport (West Tinian)
BQN,Aguadilla,Rafael Hernández Airport
NRR,Ceiba,José Aponte de la Torre Airport
CPX,Culebra,Benjamín Rivera Noriega Airport
PSE,Ponce,Mercedita Airport
SIG,San Juan,Fernando Luis Ribas Dominicci Airport
SJU,San Juan,Luis Muñoz Marín International Airport
VQS,Vieques,Antonio Rivera Rodríguez Airport
STT,"Charlotte Amalie, St. Thomas",Cyril E. King Airport
STX,"Christiansted, St. Croix",Henry E. Rohlsen Airport
